id,day,time
0,2024-09-08,22:00
1,2024-08-16,16:00
2,2024-06-19,00:00
3,2024-01-29,20:00
4,2024-09-06,20:00
5,2023-12-31,21:00
6,2023-10-31,08:00
7,2021-07-05,01:00
8,2024-09-09,08:00
9,2024-09-09,07:00
10,2024-09-06,10:00
11,2024-09-06,13:00
12,2024-09-09,05:00
13,2024-09-06,08:00
14,2024-09-09,06:00
15,2024-09-09,01:00
16,2024-09-05,07:00
17,2024-09-06,06:00
18,2024-09-08,08:00
19,2024-09-04,23:00
20,2024-08-28,00:00
21,2024-08-19,08:00
22,2024-08-01,18:00
23,2024-08-01,10:00
24,2024-01-24,11:00
25,2024-01-08,08:00
26,2023-11-15,04:00
27,2023-10-09,07:00
28,2023-07-26,20:00
29,2023-07-08,06:00
30,2023-07-04,07:00
31,2023-07-03,12:00
32,2023-07-03,11:00
33,2023-07-03,10:00
34,2023-06-30,03:00
35,2023-06-06,14:00
36,2023-06-06,13:00
37,2023-05-05,09:00
38,2023-04-05,11:00
39,2023-02-16,00:00
40,2023-01-10,13:00
41,2022-07-18,12:00
42,2022-06-28,11:00
43,2020-12-01,00:00
44,2024-09-07,00:00
45,2024-09-08,21:00
46,2024-09-09,09:00
47,2024-09-08,00:00
48,2024-09-06,00:00
49,2024-01-29,18:00
50,2024-01-29,17:00
51,2024-01-29,16:00
